iter	Passed	Remaining
0	99	99327
1	126	63337
2	152	50762
3	178	44491
4	205	40905
5	234	38904
6	262	37170
7	288	35795
8	314	34629
9	341	33783
10	367	33046
11	394	32451
12	421	32033
13	452	31847
14	477	31384
15	500	30810
16	527	30479
17	550	30037
18	575	29700
19	598	29314
20	624	29113
21	652	29011
22	677	28794
23	702	28587
24	727	28390
25	753	28232
26	777	28035
27	803	27880
28	830	27796
29	859	27796
30	883	27618
31	905	27382
32	929	27223
33	954	27111
34	980	27022
35	1007	26967
36	1034	26926
37	1063	26918
38	1089	26850
39	1112	26710
40	1137	26605
41	1162	26517
42	1186	26397
43	1209	26283
44	1263	26823
45	1308	27130
46	1336	27089
47	1360	26992
48	1385	26892
49	1412	26834
50	1434	26693
51	1460	26628
52	1487	26578
53	1514	26539
54	1538	26438
55	1563	26356
56	1586	26246
57	1610	26152
58	1635	26079
59	1659	26004
60	1682	25906
61	1714	25940
62	1741	25904
63	1766	25831
64	1789	25746
65	1814	25678
66	1838	25595
67	1864	25561
68	1887	25466
69	1911	25389
70	1936	25335
71	1964	25316
72	1987	25239
73	2008	25137
74	2035	25110
75	2060	25055
76	2084	24984
77	2108	24924
78	2135	24895
79	2160	24848
80	2187	24820
81	2214	24787
82	2239	24743
83	2263	24679
84	2289	24648
85	2313	24588
86	2337	24532
87	2364	24508
88	2390	24473
89	2413	24406
90	2439	24368
91	2463	24317
92	2486	24246
93	2512	24214
94	2537	24173
95	2559	24100
96	2586	24077
97	2618	24102
98	2646	24082
99	2672	24055
100	2698	24017
101	2723	23973
102	2748	23938
103	2773	23895
104	2802	23890
105	2835	23912
106	2861	23881
107	2884	23822
108	2907	23765
109	2933	23734
110	2959	23700
111	2982	23649
112	3009	23620
113	3037	23607
114	3068	23611
115	3094	23583
116	3119	23545
117	3144	23502
118	3166	23440
119	3191	23401
120	3214	23348
121	3242	23336
122	3265	23285
123	3288	23232
124	3316	23214
125	3345	23205
126	3372	23184
127	3397	23148
128	3426	23134
129	3454	23120
130	3480	23090
131	3507	23067
132	3532	23027
133	3554	22971
134	3581	22951
135	3607	22919
136	3634	22893
137	3662	22880
138	3690	22858
139	3716	22829
140	3742	22800
141	3769	22777
142	3796	22754
143	3822	22723
144	3847	22687
145	3874	22663
146	3900	22635
147	3926	22603
148	3951	22568
149	3974	22524
150	4000	22494
151	4024	22452
152	4049	22420
153	4077	22400
154	4103	22371
155	4125	22322
156	4153	22301
157	4179	22271
158	4208	22258
159	4234	22231
160	4264	22224
161	4291	22200
162	4316	22162
163	4343	22138
164	4368	22106
165	4393	22075
166	4416	22028
167	4444	22010
168	4466	21963
169	4491	21927
170	4514	21887
171	4539	21851
172	4562	21812
173	4589	21787
174	4615	21760
175	4642	21734
176	4669	21714
177	4695	21683
178	4720	21651
179	4743	21609
180	4770	21584
181	4798	21565
182	4823	21534
183	4847	21496
184	4875	21480
185	4900	21444
186	4927	21423
187	4954	21400
188	4980	21370
189	5011	21364
190	5035	21326
191	5059	21292
192	5082	21253
193	5109	21226
194	5134	21198
195	5158	21161
196	5182	21124
197	5209	21101
198	5237	21082
199	5263	21055
200	5293	21041
201	5322	21025
202	5346	20992
203	5373	20968
204	5398	20935
205	5423	20902
206	5449	20876
207	5474	20846
208	5505	20836
209	5533	20814
210	5558	20783
211	5585	20761
212	5610	20728
213	5636	20703
214	5663	20679
215	5688	20647
216	5715	20624
217	5743	20601
218	5765	20560
219	5788	20523
220	5815	20499
221	5839	20464
222	5864	20434
223	5889	20402
224	5913	20368
225	5937	20333
226	5961	20301
227	5986	20270
228	6007	20227
229	6029	20187
230	6051	20145
231	6075	20111
232	6099	20077
233	6122	20042
234	6145	20006
235	6172	19981
236	6200	19961
237	6228	19941
238	6255	19917
239	6282	19893
240	6308	19866
241	6333	19839
242	6360	19815
243	6387	19790
244	6414	19767
245	6440	19739
246	6468	19721
247	6491	19684
248	6519	19663
249	6544	19633
250	6571	19610
251	6598	19587
252	6623	19555
253	6647	19523
254	6670	19488
255	6698	19468
256	6721	19432
257	6746	19402
258	6772	19376
259	6798	19349
260	6822	19318
261	6850	19296
262	6877	19272
263	6905	19252
264	6932	19227
265	6955	19192
266	6980	19163
267	7005	19133
268	7031	19109
269	7055	19075
270	7078	19041
271	7101	19006
272	7129	18987
273	7159	18969
274	7182	18936
275	7214	18925
276	7243	18906
277	7268	18876
278	7296	18855
279	7319	18822
280	7347	18800
281	7373	18773
282	7397	18743
283	7425	18720
284	7448	18686
285	7474	18660
286	7498	18629
287	7524	18602
288	7548	18571
289	7573	18541
290	7598	18514
291	7626	18491
292	7653	18468
293	7678	18438
294	7704	18413
295	7731	18388
296	7760	18370
297	7788	18347
298	7812	18315
299	7840	18294
300	7864	18264
301	7890	18236
302	7913	18204
303	7939	18177
304	7969	18159
305	7994	18130
306	8020	18104
307	8048	18082
308	8074	18056
309	8099	18026
310	8122	17995
311	8146	17964
312	8173	17940
313	8196	17906
314	8225	17886
315	8253	17865
316	8279	17838
317	8304	17810
318	8328	17780
319	8354	17753
320	8378	17723
321	8402	17692
322	8430	17670
323	8459	17651
324	8486	17625
325	8511	17597
326	8536	17569
327	8560	17539
328	8584	17508
329	8611	17484
330	8636	17456
331	8661	17426
332	8688	17402
333	8716	17381
334	8742	17354
335	8769	17329
336	8793	17300
337	8819	17273
338	8846	17248
339	8871	17221
340	8899	17198
341	8929	17179
342	8952	17147
343	8979	17124
344	9005	17097
345	9029	17067
346	9053	17038
347	9082	17015
348	9108	16989
349	9138	16971
350	9165	16946
351	9191	16921
352	9219	16897
353	9248	16876
354	9276	16853
355	9302	16828
356	9328	16802
357	9356	16779
358	9381	16750
359	9408	16726
360	9435	16701
361	9457	16668
362	9487	16649
363	9511	16619
364	9536	16591
365	9562	16564
366	9585	16533
367	9611	16506
368	9634	16475
369	9659	16447
370	9685	16420
371	9709	16391
372	9734	16364
373	9758	16334
374	9784	16307
375	9806	16275
376	9833	16250
377	9858	16221
378	9883	16193
379	9909	16167
380	9935	16142
381	9962	16116
382	9987	16088
383	10014	16065
384	10038	16035
385	10063	16007
386	10089	15981
387	10113	15952
388	10139	15925
389	10167	15902
390	10196	15881
391	10219	15851
392	10244	15823
393	10270	15796
394	10296	15770
395	10321	15743
396	10347	15716
397	10379	15699
398	10408	15678
399	10434	15651
400	10461	15627
401	10486	15598
402	10514	15575
403	10540	15550
404	10566	15523
405	10595	15501
406	10618	15470
407	10645	15446
408	10666	15413
409	10690	15383
410	10701	15336
411	10727	15310
412	10749	15278
413	10775	15251
414	10801	15226
415	10824	15195
416	10846	15163
417	10872	15138
418	10898	15112
419	10923	15085
420	10948	15057
421	10976	15033
422	11005	15011
423	11029	14983
424	11053	14955
425	11078	14927
426	11104	14901
427	11129	14874
428	11151	14842
429	11175	14814
430	11203	14790
431	11227	14762
432	11249	14730
433	11271	14699
434	11297	14673
435	11318	14641
436	11341	14612
437	11368	14587
438	11390	14556
